Nº;Ambiente;Entidade / Órgão Proponente;Município;Área Temática / Conhecimento;Ano;;;
156;ESCOLA MUNICIPAL HIPÓLYTA NUNES DE OLIVEIRA LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
157;ESCOLA MUNICIPAL INÁ RIBAS CARLI - LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
158;ESCOLA MUNICIPAL IRENE GUIMARÃES PUPO - LABORATÓRIO DE TECNOLOGIA;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
159;ESCOLA MUNICIPAL MARIA DE JESUS TAQUES - LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
160;ESCOLA MUNICIPAL PADRE ESTANISLAU CEBULA - LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
161;ESCOLA MUNICIPAL PROFESSOR CONRADO GONCALVES DE OLIVEIRA - LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
162;ESCOLA MUNICIPAL PROFESSOR DIONÍSIO KLOSTER SAMPAIO - EDUCAÇÃO INFANTIL E ENSINO FUNDAMENTAL - LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
163;ESCOLA MUNICIPAL PROFESSOR FRANCISCO CONTINI - LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
164;ESCOLA MUNICIPAL PROFESSOR PEDRO ITARARÉ - LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
165;ESCOLA MUNICIPAL PROFESSOR RUY VIRMOND MARQUES EDUCAÇÃO INFANTIL E ENSINO FUNDAMENTAL - LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
166;ESCOLA MUNICIPAL PROFESSORA BENEDITA DOS SANTOS - LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
167;ESCOLA MUNICIPAL PROFESSORA CARMEN TEIXEIRA CORDEIRO - LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
168;ESCOLA MUNICIPAL PROFESSORA DIRCE TEREZINHA JAEGER - EDUCAÇÃO INFANTIL E ENSINO FUNDAMENTAL - SALA DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
169;ESCOLA MUNICIPAL PROFESSORA ELCÍDIA DE SANTA MARIA PEREIRA - LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
170;ESCOLA MUNICIPAL PROFESSORA JULIETA ANCIUTTI - LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
171;ESCOLA MUNICIPAL PROFESSORA LUIZA PAWLINA DO AMARAL - LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
172;ESCOLA MUNICIPAL PROFESSORA SILVANIRA ACYOLI LINS PENHA - LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
173;ESCOLA MUNICIPAL PROFº CHESTER KOCHANSKI- LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
174;ESCOLA MUNICIPAL RAUL HENRIQUE LUPATTELLI - LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
175;ESCOLA MUNICIPAL SÃO JOSÉ- LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
176;ESCOLA MUNICIPAL SÃO PEDRO - LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
177;ESCOLA PROFESSORA CARLITA GUIMARÃES PUPO - LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
178;ESCOLA RURAL MUNICIPAL DOMINGOS DE MORAES - LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
179;ESCOLA SEBASTIÃO CLARO DE QUADROS - LABORATÓRIO DE TECNOLOGIA EDUCACIONAL;PREFEITURA MUNICIPAL DE GUARAPUAVA;GUARAPUAVA;Espaço Maker;2024;;;
180;ESPAÇO CMAKER;FÁBIO GARCEZ BETTIO;CURITIBA;Espaço Maker;2024;;;
181;ESPAÇO MAKER - CAMPO REAL - CAMPUS GUARAPUAVA;REAL IPEX - INSTITUTO DE PESQUISA E EXTENSÃO CAMPO REAL;GUARAPUAVA;Espaço Maker;2024;;;
182;ESPAÇO MAKER - CAMPO REAL – CAMPUS IRATI;REAL IPEX - INSTITUTO DE PESQUISA E EXTENSÃO CAMPO REAL;IRATI;Espaço Maker;2024;;;
183;ESPAÇO MAKER - COLÉGIO PROFESSORA DULCE MASCHIO;SECRETARIA DE ESTADO DA EDUCAÇÃO E DO ESPORTE DO PARANÁ;GUARAPUAVA;Espaço Maker;2024;;;
184;ESPAÇO MAKER - CRIAR;FUNDAÇÃO PARA O DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO;CASCAVEL;Espaço Maker;2024;;;
185;ESPAÇO MAKER DA SPRINT INCUBADORA DA UTFPR APUCARANA;UTFPR - APUCARANA;APUCARANA;Espaço Maker;2024;;;
186;ESPAÇO MAKER ECOHUB - LONDRINA;CENTRO DE ESTUDOS SUPERIORES POSITIVO LTDA;LONDRINA;Espaço Maker;2024;;;
187;ESPAÇO MAKER NPCSA-MCRONDON;UNIOESTE;MARECHAL CÂNDIDO RONDON;Espaço Maker;2024;;;
188;ESPAÇO MAKER TECHNOPARK UMUARAMA;PREFEITURA MUNICIPAL DE UMUARAMA;UMUARAMA;Espaço Maker;2024;;;
189;ESPAÇO MAKER TURVO;PREFEITURA MUNICIPAL DE TURVO;TURVO;Espaço Maker;2024;;;
190;ESPAÇO MAKER UFPR - SEÇÃO DE IMPRENSA UNIVERSITÁRIA DA UFPR;UNIVERSIDADES FEDERAL DO PARANÁ;PIRAQUARA;Espaço Maker;2024;;;
191;FABLAB-UTFPR-FRANCISCO BELTRÃO;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ (UTFPR);FRANCISCO BELTRÃO;Espaço Maker;2024;;;
192;IFMAKER CAIUÁ DO IFPR - CAMPUS PARANAVAÍ;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ – CAMPUS PARANAVAÍ;PARANAVAÍ;Espaço Maker;2024;;;
193;INDUSLAB;INDUSBELLO - IND. E COM. DE PRODUTOS MÉDICOS E ODONTOLÓGICOS;LONDRINA;Espaço Maker;2024;;;
194;LAB GSA - LABORATÓRIO DO GRUPO DE SISTEMAS AUTOMOTIVOS DA UTFPR CAMPUS PONTA GROSSA;UTFPR - CAMPUS PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
195;LABMAKER - UNESPAR - UNIÃO DA VITÓRIA;UNESPAR – UNIVERSIDADE ESTADUAL DO PARANÁ;UNIÃO DA VITÓRIA;Espaço Maker;2024;;;
196;LABMAKER CONECTINOVA;UNIVERSIDADE ESTADUAL DE MARINGÁ;MARINGÁ;Espaço Maker;2024;;;
197;LABORATÓRIO DE ELETRIFICAÇÃO VEICULAR (LEV) DA UTFPR CAMPUS PONTA GROSSA;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ - UTFPR;PONTA GROSSA;Espaço Maker;2024;;;
198;LABORATÓRIO DE IDEIAS (LAB DE IDEIAS);AGÊNCIA DE INOVAÇÃO E DESENVOLVIMENTO DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
199;LABORATÓRIO DE INOVAÇÕES TECNOLÓGICAS EM ZOOTECNIA LITEZ;UNIVERSIDADE FEDERAL DO PARANÁ;CURITIBA;Espaço Maker;2024;;;
200;LABORATÓRIO DE MANUFATURA ADITIVA;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ – CAMPUS TOLEDO;TOLEDO;Espaço Maker;2024;;;
201;LABORATÓRIO DE PESQUISA, INOVAÇÃO E TÉCNICA CIRÚRGICA BÁSICA PROF. DR. FRANCISCO PEREIRA SILVA;UNIVERSIDADE ESTADUAL DE LONDRINA (UEL);LONDRINA;Espaço Maker;2024;;;
202;LABORATÓRIO DE PROTOTIPAGEM BIOPARK;PARQUE CIENTIFICO E TECNOLÓGICO DE BIOCIÊNCIAS - BIOPARK;TOLEDO;Espaço Maker;2024;;;
203;LABORATÓRIO DE TECNOLOGIAS INTEGRADAS IP CONTROL - COLÉGIO LOBO;COLÉGIO LOBO;GUARAPUAVA;Espaço Maker;2024;;;
204;LABORATÓRIO MAKER DO IFPR - CAMPUS PITANGA;INSTITUTO FEDERAL DO PARANÁ - CAMPUS PITANGA;PITANGA;Espaço Maker;2024;;;
205;LABORATÓRIO MAKER DO IFPR CORONEL VIVIDA;INSTITUTO FEDERAL DO PARANÁ;CORONEL VIVIDA;Espaço Maker;2024;;;
206;LABORATORIES MAKER IFPR TELÊMACO BORBA (LAB MAKER IFPRTB);INSTITUTO FEDERAL DO PARANÁ;TELÊMACO BORBA;Espaço Maker;2024;;;
207;NÚCLEO DE INOVAÇÃO E EMPREENDEDORISMO FACULDADES PEQUENO PRÍNCIPE;ASSOCIAÇÃO HOSPITALAR DE PROTEÇÃO À INFÂNCIA DR. RAUL CARNEIRO;CURITIBA;Espaço Maker;2024;;;
208;NÚCLEO DE PESQUISA E TREINAMENTO EM TECNOLOGIAS ABERTAS (NUTAB);PREFEITURA MUNICIPAL DE FRANCISCO BELTRÃO;FRANCISCO BELTRÃO;Espaço Maker;2024;;;
209;PELOTÃO ESPERANÇA;ASSOCIAÇÃO DOS AMIGOS DO GRUPO E DO PELOTÃO ESPERANÇA;GUARAPUAVA;Espaço Maker;2024;;;
210;PROTOS MAKERSPACE;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ - UTFPR, CAMPUS PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
211;REDE FABLAB POSITIVO;POSITIVO EDUCACIONAL LTDA. – POSITIVO EDUCACIONAL JÚNIOR;CURITIBA;Espaço Maker;2024;;;
212;TECHLAB ESPAÇO MAKER;INSTITUTO FILADÉLFIA DE LONDRINA;LONDRINA;Espaço Maker;2024;;;
213;XICOR.IA - ESPAÇO MAKER;MERCADOMOVEIS LTDA - LOJAS MM;PONTA GROSSA;Espaço Maker;2024;;;
214;LAC - ESCOLA MUNICIPAL EGDAR ZANONI;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
215;LAC - ESCOLA MUNICIPAL DOUTOR CARLOS RIBEIRO DE MACEDO;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
216;LAC - ESCOLA MUNICIPAL DOUTOR OTHON MADER;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
217;LAC - ESCOLA MUNICIPAL MARIA LAURA PEREIRA;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
218;LAC - ESCOLA MUL. DOUTOR EDGAR SPONHOLZ;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
219;LAC - ESCOLA MUNICIPAL PREFEITO DOUTOR PLAUTO MIRÓ GUIMARÃES;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
220;LAC - ESCOLA MUNICIPAL PREFEITO DOUTOR ELYSEU DE CAMPOS MELLO;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
221;LAC - ESCOLA MUNICIPAL CATARINA MIRÓ;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
222;LAC - ESCOLA MUNICIPAL DEPUTADO MÁRIO BRAGA RAMOS;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
223;LAC - ESCOLA MUNICIPAL DR JOSÉ PINTO ROSAS;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
224;LAC - ESCOLA MUNICIPAL GENERAL ALDO BONDE;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
225;LAC - ESCOLA MUNICIPAL HUMBERTO CORDEIRO;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
226;LAC - ESCOLA MUNICIPAL JOÃO MARIA CRUZ;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
227;LAC - ESCOLA MUNICIPAL PASCOALINO PROVISIERO;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
228;LAC - ESCOLA MUNICIPAL PREFEITO DOUTOR AMADEU PUPPI;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
229;LAC - ESCOLA MUNICIPAL PREFEITO ERNESTO GUIMARÃES VILELA;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
230;LAC - ESCOLA MUNICIPAL PREFEITO HEITOR DITZEL;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
231;LAC - ESCOLA MUNICIPAL PROFESSOR FELÍCIO FRANCISQUINY;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
232;LAC - ESCOLA MUNICIPAL PROFESSOR KAMAL TEBCHERANI;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
233;LAC - ESCOLA MUNICIPAL PROFESSOR RUBENS EDGARD FURSTENBERGER;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
234;LAC - ESCOLA MUNICIPAL PROFESSORA AGENORIDAS STADLER;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
235;LAC - ESCOLA MUNICIPAL PROFESSORA ALDA DOS SANTOS REBONATO;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
236;LAC - ESCOLA MUNICIPAL PROFESSORA ARMIDA FRARE GRÁCIA;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
237;LAC - ESCOLA MUNICIPAL PROFESSORA KAZUKO INOUE;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
238;LAC - ESCOLA MUNICIPAL PROFESSORA LUCIA PACHER EDUCAÇÃO INFANTIL E ENSINO FUNDAMENTAL;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
239;LAC - ESCOLA MUNICIPAL PROFESSORA MARIA ANTONIA DE ANDRADE;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
240;LAC - ESCOLA MUNICIPAL PROFESSORA MARIA ELVIRA JUSTUS SCHIMIDT;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
241;LAC - ESCOLA MUNICIPAL PROFESSORA MARIA EULINA SANTOS SCHEENA;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
242;LAC - ESCOLA MUNICIPAL PROFESSORA MINERVINA FRANÇA SCUDLARECK;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
243;LAC - ESCOLA MUNICIPAL PROFESSORA OTÁCILIA HASSELMANN DE OLIVEIRA;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
244;LAC - ESCOLA PREFEITO JOSÉ BONIFÁCIO;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
245;LAC - ESCOLA PROFESSORA LOISE FOLTRAN DE LARA;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
246;LAC - ESCOLA MUNICIPAL PROFESSORA ECLÉA DOS PASSOS HORN;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
247;LAC- ESCOLA MUNICIPAL PREFEITO CORONEL CLÁUDIO GONÇALVES GUIMARÃES;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
248;LAC- ESCOLA MUNICIPAL PROFESSOR IVON ZARDO;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
249;LAC- ESCOLA MUNICIPAL PROFESSOR PAULO GROTT;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
250;LAC- ESCOLA MUNICIPAL PROFESSOR SEBASTIÃO DOS SANTOS E SILVA;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
251;LAC- ESCOLA MUNICIPAL PROFESSORA GUITIL FEDERMANN;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
252;LAC- ESCOLA MUNICIPAL PROFESSORA RUTH HOLZMANN RIBAS;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
253;LAC- ESCOLA MUNICIPAL PROFESSORA ZAHIRA CATTA PRETA MELLO;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
254;LAC- ESCOLA MUNICIPAL PROFESSORA ZENEIDA FREITAS SCHNIRMANN;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
255;LAC- ESCOLA MUNICIPAL VEREADOR ADELINO MACHADO DE OLIVEIRA;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
256;LAC- ESECOLA MUNICIPAL OSNI VILACA MONGRUEL;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
257;LAC-ESCOLA MUNICIPAL DOUTOR RAUL PINHEIRO MACHADO;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
258;LAC-ESCOLA MUNICIPAL GUARACY PARANÁ VIEIRA;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
259;LAC-ESCOLA MUNICIPAL PROF NELSON PEREIRA JORGE;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
260;LAC-ESCOLA MUNICIPAL PROFESSOR FARIS ANTÔNIO MICHAELE;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
261;LAC-ESCOLA MUNICIPAL PROFESSORA MARTA FILIPKOWSKI DE LIMA;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
262;LAC-ESCOLA MUNICIPAL PROFESSORA SHIRLEY AGGI MOURA;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
263;LAC-ESCOLA MUNICIPAL PROTÁZIO SCHEIFER;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Espaço Maker;2024;;;
264;ACICLABS HUB DE INOVAÇÃO SEPARTEC;ASSOCIAÇÃO COMERCIAL E INDUSTRIAL;CASCAVEL;Hub de inovação;2023;;;
265;CASA DO DESENVOLVEDOR;TECNOSPEED SA;MARINGÁ;Hub de inovação;2023;;;
266;CIKLO HUB DE INOVAÇÃO;"ASSOCIAÇÃO EMPRESARIAL DE FRANCISCO
BELTRÃO";FRANCISCO BELTRÃO;Hub de inovação;2023;;;
267;CIKLO2VIZINHOS;ASSOCIACAO EMPRESARIAL DE DOIS VIZINHOS;DOIS VIZINHOS;Hub de inovação;2023;;;
268;EDUCALNOVA HUB EDUCACIONAL;INSTITUTO DE EDUCAÇAO PARA O FUTURO;CAMPO MOURÃO;Hub de inovação;2023;;;
269;ELOSPACE HUB DE INOVAÇÃO;ELOSPACE;CURITIBA;Hub de inovação;2023;;;
270;EXOHUB CITA;"ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE FOZ
DO IGUAÇU";FOZ DO IGUAÇU;Hub de inovação;2023;;;
271;HABITAT SENAI CORPORAÇÕES;FIEP/SENAI;CURITIBA;Hub de inovação;2023;;;
272;HUB CONECTA APUCARANA;HUB CONECTA APUCARANA;APUCARANA;Hub de inovação;2023;;;
273;HUB CONNECT HEALTHTECH;SOCIEDADE MÉDICA DE MARINGÁ;MARINGÁ;Hub de inovação;2023;;;
274;HUB DE INOVAÇÃO +COOP;SENAI/PR;CURITIBA;Hub de inovação;2023;;;
275;HUB DE INOVAÇÃO DO TURISMO;"VISITE LONDRINA - CONVENTION & VISITORS
BUREAU";LONDRINA;Hub de inovação;2023;;;
276;HUB DE INOVAÇÃO FRONTEIRA;UNIVERSIDADE ESTADUAL DE MARINGÁ;MARINGÁ;Hub de inovação;2023;;;
277;HUB DE INTELIGÊNCIA ARTIFICIAL - SENAI PR;SENAI/PR;LONDRINA;Hub de inovação;2023;;;
278;HUB INOVACIG;"ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE
GUARAPUAVA";GUARAPUAVA;Hub de inovação;2023;;;
279;I9 CONECTA - HUB DE INOVAÇÃO;BRO8 COWORKING;ARAPONGAS;Hub de inovação;2023;;;
280;INOVEMM - HUB DE INOVAÇÃO DO ECOSSISTEMA DO ELETROMETALMECÂNICO;SINDIMETAL NORTE/PR;LONDRINA;Hub de inovação;2023;;;
281;LABORATÓRIO DE INOVAÇÃO JURÍDICA DO CURSO DE DIREITO DA PUCPR - CÂMPUS LONDRINA;PONTIFÍCIA UNIVERSIDADE CATÓLICA PUC/PR;LONDRINA;Hub de inovação;2023;;;
282;NEXO ESPAÇO DE NEGÓCIOS E COWORKING;NEXO GESTÃO EMPRESARIAL;TOLEDO;Hub de inovação;2023;;;
283;NÚCLEO DE EMPREENDEDORISMO, PESQUISA E INOVAÇÃO - NEPE;CENTRO UNIVESITARIO INTEGRADO;CAMPO MOURÃO;Hub de inovação;2023;;;
284;"NÚCLEO DE INOVAÇÃO E EXPERIMENTAÇÃO
AGRÍCOLA";"UNIVESIDADE FEDERAL DO PARANÁ - CAMPUS
JANDAIA";JANDAIA DO SUL;Hub de inovação;2023;;;
285;UNIHUB – USINA DE NEGÓCIOS INOVADORES;UNIHUB - CAMPUS CASCAVEL;CASCAVEL;Hub de inovação;2023;;;
286;ESPAÇO IMPULSO;COOPAVEL;CASCAVEL;Hub de inovação;2023;;;
287;3D CONNECT LTDA;3D CONNECT LTDA;IMBITUVA;Hub de inovação;2024;;;
288;ABRATIC HUB - HUB DE INOVAÇÃO DO ECOSSISTEMA DO TIC DE LONDRINA E REGIÃO;ABRATIC - ASSOCIAÇÃO BRASILEIRA DE TECNOLOGIA INOVAÇÃO E COMUNICAÇÃO;LONDRINA;Hub de inovação;2024;;;
289;ACIC HUB - HUB EE INOVAÇÃO DE CIANORTE;ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE CIANORTE;CIANORTE;Hub de inovação;2024;;;
290;ACIR - HUB DE INOVAÇÃO;ACIR - ASSOCIAÇÃO EMPRESARIAL DE ROLÂNDIA;ROLÂNDIA;Hub de inovação;2024;;;
291;AMTECH - AGÊNCIA MARINGÁ DE TECNOLOGIA E INOVAÇÃO;PREFEITURA MUNICIPAL DE MARINGÁ;MARINGÁ;Hub de inovação;2024;;;
292;BIO HEALTH HUB CURITIBA;INSTITUTO DE BIOLOGIA MOLECULAR DO PARANÁ (IBMP);CURITIBA;Hub de inovação;2024;;;
293;CAMBÉ INOVAHUB;PREFEITURA MUNICIPAL DE CAMBÉ - SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO;CAMBÉ;Hub de inovação;2024;;;
294;CARTÓRIO TECHHUB;CARTÓRIO CANZIANI - CARTÓRIO DE REGISTRO DE IMÓVEIS -2º OFICIO;LONDRINA;Hub de inovação;2024;;;
295;CONSTRUHUB: HUB DE INOVAÇÃO DA CONSTRUÇÃO CIVIL;SINDUSCON PARANÁ NORTE;LONDRINA;Hub de inovação;2024;;;
296;DB1 LABS;DB1 LABS LTDA.;MARINGÁ;Hub de inovação;2024;;;
297;E-CRIA HUB - HUB DE ECONOMIA CRIATIVA DE LONDRINA;ESPAÇO VILLA RICA LTDA.;LONDRINA;Hub de inovação;2024;;;
298;ESTAÇÃO HUB PONTA GROSSA;PREFEITURA MUNICIPAL DE PONTA GROSSA;PONTA GROSSA;Hub de inovação;2024;;;
299;HEAD STARTUP SCHOOL - HUB EDUCACIONAL AVANÇADO DECOLA STARTUP SCHOOL;DECOLA STARTUP SCHOOL LTDA.;LONDRINA;Hub de inovação;2024;;;
300;HELLO WORLD - HUB DE INOVAÇÃO;VCX INVESTIMENTOS;ARAPONGAS;Hub de inovação;2024;;;
301;HUB ACIL DE INOVAÇÃO;ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE LONDRINA - ACIL;LONDRINA;Hub de inovação;2024;;;
302;HUB DE BIOINFORMÁTICA PARANÁ;ASSOCIAÇÃO DAS EMPRESAS BRASILEIRAS DE TECNOLOGIA DA INFORMAÇÃO – ASSESPRO REGIONAL PARANÁ;GUARAPUAVA;Hub de inovação;2024;;;
303;HUB DE INOVAÇÃO - FIOCRUZ PARANÁ - INSTITUTO CARLOS CHAGAS (ICC) - FIOCRUZ PARANÁ;INSTITUTO CARLOS CHAGAS (ICC) - FIOCRUZ PARANÁ;CURITIBA;Hub de inovação;2024;;;
